cos_sim,jaccard_best_avg,jc_best_avg,lin_best_avg,resnik_best_avg,source,lambda,exp_id,walk_length,iterations,time_similarities,time_results,cond_number,noise_ptg,patients_per_cond,time_symptom_embeddings,time_patient_embeddings,time_gen_patients,enriched_embeddings
0.94776306153885,0.9677982247923032,0.9758945796823313,0.9649321039872731,0.9658136473826419,orpha,1,0,50,3,471.8534586429596,0.7090401649475098,200,0.15,2,110.07563138008118,2.073005199432373,26.650036096572876,no
0.944398247519002,0.9744729931062347,0.981515334208732,0.9727771394661751,0.9738272707759905,orpha,1,1,50,3,435.0927004814148,0.7189984321594238,200,0.15,2,110.07563138008118,2.0340354442596436,19.926957368850708,no
0.9409620969167446,0.9686801785308452,0.9667042498926794,0.9641172571399712,0.9647257960657559,orpha,1,2,50,3,486.9315848350525,0.5716559886932373,200,0.15,2,110.07563138008118,2.6549978256225586,26.20300316810608,no
0.9476705133708745,0.9744293389055831,0.9796327112951694,0.966694212267367,0.9654602787808388,orpha,1,3,50,3,402.96885418891907,0.648003339767456,200,0.15,2,110.07563138008118,2.0333526134490967,17.433825731277466,no
0.9441628052321911,0.9818779197495013,0.9803966440241408,0.975788111411328,0.9759657268755839,orpha,1,4,50,3,569.9233250617981,0.6240425109863281,200,0.15,2,110.07563138008118,2.086998224258423,20.973997116088867,no
0.9469753604706952,0.978311059064165,0.9848759501022701,0.9706018787404359,0.9609781003004975,orpha,1,5,50,3,595.2265157699585,0.7440018653869629,200,0.3,2,110.07563138008118,2.3050005435943604,23.77334952354431,no
0.9303062422666095,0.9623691320926239,0.971275472841595,0.9583408878563673,0.9506318337920759,orpha,1,6,50,3,652.9670407772064,0.6250338554382324,200,0.3,2,110.07563138008118,2.4599971771240234,22.61188817024231,no
0.9247540150501251,0.9591131852730992,0.9763581727734149,0.956723630716396,0.9416725903386278,orpha,1,7,50,3,727.0715637207031,0.7989976406097412,200,0.3,2,110.07563138008118,2.3470051288604736,19.491989135742188,no
0.9151842440847453,0.9699311886063484,0.9759608343223656,0.9609537006641247,0.9544443006489736,orpha,1,8,50,3,759.1003501415253,0.5919983386993408,200,0.3,2,110.07563138008118,2.1540005207061768,22.740662574768066,no
0.9236031602737305,0.9717570263377188,0.9793348652811797,0.965718605590768,0.9536469722986793,orpha,1,9,50,3,726.1307723522186,0.6159958839416504,200,0.3,2,110.07563138008118,2.0360138416290283,19.249898433685303,no
0.9084029759349511,0.9608773768339184,0.9755329410873462,0.9548279715158707,0.9455780157066741,orpha,1,10,50,3,907.7909684181213,0.6245999336242676,200,0.45,2,110.07563138008118,2.502991199493408,21.49057650566101,no
0.9009503547890205,0.9564585805913992,0.9756423448902806,0.9420911088103835,0.9258425923587787,orpha,1,11,50,3,860.618973493576,0.5811443328857422,200,0.45,2,110.07563138008118,2.1499459743499756,22.89192843437195,no
0.8907323363046387,0.9640232569884599,0.9722781306027626,0.9487619630817403,0.9269390924471606,orpha,1,12,50,3,827.1613097190857,0.569145917892456,200,0.45,2,110.07563138008118,2.085249185562134,20.185595512390137,no
0.9182012133531983,0.9754219906062978,0.986770914875887,0.9656397565718038,0.9432215095578396,orpha,1,13,50,3,917.103354215622,0.6240010261535645,200,0.45,2,110.07563138008118,2.182276964187622,20.190489053726196,no
0.9041069354309235,0.950403462033787,0.9739326658417715,0.9429486629125526,0.9287964950380041,orpha,1,14,50,3,777.4099826812744,0.7259972095489502,200,0.45,2,110.07563138008118,2.0349972248077393,18.466046810150146,no
0.884875476629378,0.9552966149844702,0.96628235398096,0.9380367920002018,0.9156190815888489,orpha,1,15,50,3,1015.0491716861725,0.6460390090942383,200,0.6,2,110.07563138008118,2.452003002166748,20.38400363922119,no
0.8839617686422059,0.948359353299159,0.9727287821014621,0.9283828059897478,0.9066739791924447,orpha,1,16,50,3,1200.8061275482178,0.6030035018920898,200,0.6,2,110.07563138008118,2.15899658203125,19.652964115142822,no
0.8806857781369157,0.9483312290093685,0.9758391202242367,0.9473209009873488,0.9226713971869398,orpha,1,17,50,3,1143.2703893184662,0.6899998188018799,200,0.6,2,110.07563138008118,2.3550336360931396,21.03902244567871,no
0.875413531223959,0.9672373803691826,0.9811055276381909,0.94803691825964,0.9168729956314234,orpha,1,18,50,3,890.554746389389,0.5370032787322998,200,0.6,2,110.07563138008118,2.5290026664733887,22.386001348495483,no
0.8831601474710234,0.951776186207419,0.9710349801772683,0.9358236534430948,0.906693612535037,orpha,1,19,50,3,1052.2950160503387,0.5020925998687744,200,0.6,2,110.07563138008118,1.9890007972717285,18.986998081207275,no
