cos_sim,source,lambda,exp_id,walk_length,iterations,num_walks,p,q,embeddings from graph,number_experiments,time_similarities,time_results,amount_conditions,noise_ptg,patients_per_cond,time_symptom_embeddings,time_patient_embeddings,time_gen_patients,enriched_embeddings
0.9701667571525971,orpha,0,0,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,20.955997705459595,0.18399453163146973,200,0,2,741.49307513237,3.745999336242676,21.38100266456604,no
0.9698393979950002,orpha,0,1,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,20.163000345230103,0.14699435234069824,200,0,2,1093.2581243515015,3.123994827270508,21.38100266456604,no
0.9878926984167067,orpha,0,2,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,23.453004837036133,0.18599557876586914,200,0,2,749.334480047226,4.1680052280426025,18.806872367858887,no
0.9882045276634429,orpha,0,3,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,17.991014003753662,0.14602375030517578,200,0,2,1134.0439779758453,3.016000509262085,18.806872367858887,no
0.9848779702532764,orpha,0,4,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,19.392045497894287,0.14295363426208496,200,0,2,758.2381448745728,3.6500024795532227,18.784966945648193,no
0.9851178000555543,orpha,0,5,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,18.13151502609253,0.1510002613067627,200,0,2,1054.0891466140747,3.0899860858917236,18.784966945648193,no
0.9676180210095705,orpha,1,6,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,24.037998914718628,0.2169959545135498,200,0,2,782.9743800163269,4.093004465103149,21.31600594520569,no
0.9693667457892479,orpha,1,7,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,18.73700475692749,0.16699814796447754,200,0,2,1242.8907935619354,2.4090018272399902,21.31600594520569,no
0.97461708668973,orpha,1,8,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,25.06300401687622,0.18799328804016113,200,0,2,1043.1438200473785,4.011998891830444,22.613998651504517,no
0.9763516704123634,orpha,1,9,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,20.829999446868896,0.14803171157836914,200,0,2,1239.1591367721558,3.9530038833618164,22.613998651504517,no
0.9734019027297292,orpha,1,10,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,17.253989934921265,0.1430346965789795,200,0,2,812.1449739933014,3.308004379272461,20.557971239089966,no
0.9750131625464004,orpha,1,11,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,24.65600347518921,0.20704340934753418,200,0,2,1103.5028777122498,4.436988353729248,20.557971239089966,no
0.9619325900861089,orpha,2,12,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,26.219207525253296,0.1999988555908203,200,0,2,788.3971049785614,3.28800368309021,24.548731565475464,no
0.9620879207595767,orpha,2,13,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,16.675662517547607,0.14504075050354004,200,0,2,1125.6302564144135,2.053001642227173,24.548731565475464,no
0.9579907704350901,orpha,2,14,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,20.028990983963013,0.15802717208862305,200,0,2,807.9905145168304,3.708005666732788,19.529964208602905,no
0.9577681119163658,orpha,2,15,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,19.42799472808838,0.16503453254699707,200,0,2,1193.6813807487488,2.998004913330078,19.529964208602905,no
0.9670481806015,orpha,2,16,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,22.366002798080444,0.17699432373046875,200,0,2,724.7415263652802,3.810995578765869,19.072962760925293,no
0.9676787833640563,orpha,2,17,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,22.829004764556885,0.28699374198913574,200,0,2,1059.8233544826508,2.9119973182678223,19.072962760925293,no
0.9548468157369763,orpha,3,18,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,23.845999240875244,0.1900036334991455,200,0,2,804.050849199295,4.189001083374023,26.742007970809937,no
0.955181024469079,orpha,3,19,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,18.86600351333618,0.15699100494384766,200,0,2,1165.601578950882,3.2730016708374023,26.742007970809937,no
0.9660605477134416,orpha,3,20,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,17.702996969223022,0.14604663848876953,200,0,2,828.9243006706238,3.0520002841949463,22.156003952026367,no
0.9651528686144288,orpha,3,21,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,22.344001531600952,0.18399477005004883,200,0,2,1058.7794325351715,4.320538282394409,22.156003952026367,no
0.9589231332542107,orpha,3,22,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,21.891998529434204,0.1670389175415039,200,0,2,743.7731895446777,4.294998645782471,20.620998859405518,no
0.9572929660867149,orpha,3,23,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,22.842005729675293,0.19197702407836914,200,0,2,1150.0140290260315,4.516868591308594,20.620998859405518,no
0.9327707317997022,orpha,4,24,50,1,10,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,23.618000030517578,0.1610417366027832,200,0,2,829.8933460712433,4.942996501922607,22.302001953125,no
0.9338560263629706,orpha,4,25,50,1,20,1,0.05,hp-obo-all-under-000118-linked.edgelist,3,15.958226203918457,0.15802550315856934,200,0,2,1191.1163165569305,2.377962350845337,22.302001953125,no
