cos_sim,jaccard_best_avg,jc_best_avg,lin_best_avg,resnik_best_avg,source,lambda,exp_id,walk_length,time_similarities,time_results,cond_number,noise_ptg,patients_per_cond,time_symptom_embeddings,graph,p,q,num_walks,time_patient_embeddings,time_gen_patients,enriched_embeddings
0.9862469408284913,0.9952057715117938,0.9961898112697627,0.9915877663168325,0.9939549269552422,orpha,0,0,50,311.6334993839264,0.40399742126464844,150,0.0,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.31699800491333,13.770465850830078,no
0.9849526297614222,0.9971529810969476,0.9991874239899105,0.9946428839541762,0.9930168310736753,orpha,0,1,50,277.8875105381012,0.35749316215515137,150,0.0,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.216001272201538,16.042001008987427,no
0.9832991006411124,0.9930983589327809,0.9937422488476495,0.9892439529750913,0.9885827214990316,orpha,0,2,50,226.0940020084381,0.3195347785949707,150,0.0,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.2654969692230225,14.626526832580566,no
0.9833956428389111,0.9958261639866073,0.9981337177004039,0.9920809873429126,0.9935162079786196,orpha,0,3,50,290.1311409473419,0.39999914169311523,150,0.0,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.9440028667449951,14.252965927124023,no
0.9705890125069441,0.9900153896971609,0.9908730837950244,0.9840190381814633,0.9876408720327914,orpha,0,4,50,285.22699904441833,0.314042329788208,150,0.0,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.201998710632324,16.068997621536255,no
0.962462952119274,0.9872305301562992,0.9900793507799949,0.9810504031349939,0.9814987312883804,orpha,0,5,50,371.06112337112427,0.42954277992248535,150,0.2,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.0695292949676514,15.275958061218262,no
0.9547928771977239,0.9902056213684068,0.9941703827154933,0.9792001861777998,0.9812192393736018,orpha,0,6,50,355.3700792789459,0.35204029083251953,150,0.2,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.2200000286102295,14.29546070098877,no
0.9655956938876628,0.9919909013107517,0.9982259057399817,0.9846711109109199,0.9878205185952584,orpha,0,7,50,351.8734984397888,0.3054983615875244,150,0.2,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.1830008029937744,16.431036710739136,no
0.97166478987433,0.9950734951879044,0.9972516253021636,0.9889599567587045,0.9857805203969792,orpha,0,8,50,370.69973278045654,0.31200218200683594,150,0.2,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.956495761871338,13.524507761001587,no
0.9716907646802696,0.9911766737234059,0.9946431842409501,0.9865375433539031,0.9861247991832199,orpha,0,9,50,336.08238649368286,0.2875046730041504,150,0.2,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.0584933757781982,15.738999128341675,no
0.948447667522484,0.9858751107307479,0.9987054637178505,0.979768178610573,0.97372385628275,orpha,0,10,50,494.0029628276825,0.31200599670410156,150,0.4,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.9355316162109375,12.179497718811035,no
0.9688299325856193,0.9947508370493822,0.9995425131000105,0.9866771767037521,0.9831834902331728,orpha,0,11,50,518.3380029201508,0.31949615478515625,150,0.4,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.228999614715576,15.112997770309448,no
0.9559994294551297,0.9850050298034623,0.9944675164782366,0.9770939747458824,0.973751182379172,orpha,0,12,50,542.0625004768372,0.2995035648345947,150,0.4,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.1529958248138428,14.792564630508423,no
0.9629759920724291,0.9932082638920169,0.9987701755176194,0.985473477170698,0.98158446316232,orpha,0,13,50,471.5444974899292,0.32149767875671387,150,0.4,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.9280006885528564,14.016533136367798,no
0.9537059892197048,0.9905309070162005,0.9974107772923142,0.9833873849526298,0.9837929222407399,orpha,0,14,50,565.090950012207,0.2660338878631592,150,0.4,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.125499725341797,16.497502326965332,no
0.91354068135069,0.9669162049757518,0.9789519991591971,0.9561965677221747,0.9505142411002507,orpha,0,15,50,530.858672618866,0.3019990921020508,150,0.6,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.016000747680664,14.791974306106567,no
0.9475742834406858,0.9842505592841162,0.9974208368992389,0.9721865381439275,0.966594898127712,orpha,0,16,50,682.5415046215057,0.32850217819213867,150,0.6,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.9954943656921387,15.64500093460083,no
0.9240048496313981,0.9834803237091422,0.9971731003107969,0.9640203894719458,0.9558695554254313,orpha,0,17,50,592.4884967803955,0.29103517532348633,150,0.6,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.3485028743743896,15.195993900299072,no
0.9410074621263307,0.9888760266054082,0.9988854856387852,0.9758497364983559,0.969825833671156,orpha,0,18,50,804.1194977760315,0.2974998950958252,150,0.6,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,1.9795005321502686,15.120964288711548,no
0.9349599117156885,0.9822922390883294,0.9970165007582241,0.9672282029338017,0.9548091677552062,orpha,0,19,50,709.2114977836609,0.2760450839996338,150,0.6,2,N/A,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,2.4064979553222656,15.042499780654907,no
