cos_sim,jaccard_best_avg,jc_best_avg,lin_best_avg,resnik_best_avg,source,lambda,exp_id,walk_length,time_similarities,time_results,cond_number,patients_per_cond,time_symptom_embeddings,time_patient_embeddings
0.9763489221460235,0.994476725636146,0.9966906523428263,0.9917304595565465,0.9939392813305857,orpha,0,0,50,38135.178562402725,0.34999918937683105,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9945165140817315,0.9963372859025033,0.9904589559662024,0.9918568066394153,orpha,0,1,50,258.1450345516205,0.32500410079956055,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9917723500332195,0.9952888228250547,0.9875911099099504,0.9853743304467941,orpha,0,2,50,241.60835480690002,0.28499341011047363,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9959394014466478,0.9974209580006682,0.9950767429028299,0.9933638878566414,orpha,0,3,50,340.7407736778259,0.40599703788757324,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.994672927716406,0.9952755349856799,0.9868354297339805,0.989928193116599,orpha,0,4,50,343.5950005054474,0.4640331268310547,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9937475460663866,0.9925946946236802,0.9887279333656145,0.9907524145205304,orpha,1,5,50,309.8830852508545,0.4419980049133301,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9882475066533037,0.9919377348362857,0.9846798719262487,0.9847627520091288,orpha,1,6,50,227.21198916435242,0.37999725341796875,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9789546148966438,0.9866575078169281,0.9785290286739562,0.9821177587844254,orpha,1,7,50,245.85699796676636,0.33099794387817383,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9957139586125094,0.9964070282910863,0.9919663374735839,0.9902150077512396,orpha,1,8,50,227.71648812294006,0.2930006980895996,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9724855391522058,0.9721602498414093,0.9723479311885109,0.9741886347683449,orpha,1,9,50,256.2065830230713,0.3849952220916748,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9849750571489702,0.9905191641423525,0.9790918474976446,0.9798746663964056,orpha,2,10,50,231.2952916622162,0.44600439071655273,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9815388744374252,0.9902677086735057,0.9770804665007563,0.981440717092891,orpha,2,11,50,246.00402522087097,0.3009965419769287,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9841764730170527,0.9872522324696238,0.977366380264931,0.9813735647068981,orpha,2,12,50,272.69999957084656,0.30003905296325684,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9829017788438078,0.9875804496094351,0.9764139349646597,0.9800704180414326,orpha,2,13,50,259.7349886894226,0.40900301933288574,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9907591710490261,0.993270610227132,0.9816210037949168,0.9846942858537061,orpha,2,14,50,209.6100263595581,0.2980051040649414,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9839717126673648,0.9911123122717325,0.9817670574192313,0.9822850954735013,orpha,3,15,50,140.80500197410583,0.2850000858306885,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.985304925884636,0.9927451024552474,0.9805470160542624,0.980750049735557,orpha,3,16,50,175.0736289024353,0.31800031661987305,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9903222113367042,0.991355622370115,0.9852795513665078,0.984223017991134,orpha,3,17,50,173.7462351322174,0.3489973545074463,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9831145719551517,0.9900915134248468,0.9793913493913493,0.9809957246189129,orpha,3,18,50,221.00264644622803,0.32803797721862793,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9883998288346115,0.9929439696106364,0.9844121257164735,0.9861482532497026,orpha,3,19,50,220.96299719810486,0.36099863052368164,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9886900592697694,0.9950273076360033,0.9831819120224917,0.9825833211340458,orpha,4,20,50,187.08929872512817,0.29604125022888184,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.989781388766896,0.9933817551208856,0.9834181277659538,0.983709446752925,orpha,4,21,50,188.7276110649109,0.2850072383880615,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9874214084359012,0.9936490884316971,0.9834946266830324,0.9826302414708211,orpha,4,22,50,205.024001121521,0.38303351402282715,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9885663021894906,0.9957957126073068,0.9818395024192126,0.9828520808230954,orpha,4,23,50,248.96050930023193,0.35899901390075684,100,3,68.48695802688599,3.2750043869018555
0.9763489221460235,0.9916297497456918,0.9963771494206277,0.9876738398477528,0.9892927791478516,orpha,4,24,50,202.53015422821045,0.29503893852233887,100,3,68.48695802688599,3.2750043869018555
