cos_sim,jaccard_best_avg,jc_best_avg,lin_best_avg,resnik_best_avg,source,lambda,exp_id,walk_length,iterations,time_similarities,time_results,cond_number,noise_ptg,patients_per_cond,time_symptom_embeddings,time_patient_embeddings,time_gen_patients,graph,p,q,num_walks,enriched_embeddings
0.9850924132546582,0.9892539375103223,0.997663318469138,0.9855066588592105,0.9888243772803027,orpha,0,0,50,1,414.0408010482788,0.37903594970703125,150,0,2,1243.4194900989532,3.4369986057281494,35.36999773979187,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9801920333918892,0.9918819722835307,0.9939205441196343,0.9918325000375359,0.9944228488206237,orpha,0,1,50,1,418.3337998390198,0.3880031108856201,150,0,2,1243.4194900989532,3.2709670066833496,23.709963083267212,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9841553683767998,0.9885720613185592,0.9910131675750341,0.9894695434139603,0.9894176688737745,orpha,0,2,50,1,360.076682806015,0.5269970893859863,150,0,2,1243.4194900989532,3.300987482070923,20.415000438690186,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9829528699908414,0.9951438373646834,0.9983233487981021,0.9918078765220786,0.993315766557062,orpha,0,3,50,1,404.9360201358795,0.41399693489074707,150,0,2,1243.4194900989532,3.3929994106292725,25.139007091522217,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9869406783478222,0.995797711814783,0.9992498836388751,0.9940528204435236,0.9955228743449995,orpha,0,4,50,1,450.4980251789093,0.46503615379333496,150,0,2,1243.4194900989532,3.9619951248168945,25.61870527267456,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9630040688857858,0.9745795234448899,0.9733222227227002,0.9628401123072534,0.9662227677431947,orpha,1,5,50,1,306.0505657196045,0.5920038223266602,150,0,2,1243.4194900989532,2.7870168685913086,23.608962774276733,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9676716514271129,0.9648290617539751,0.9634174136300167,0.9624545440896055,0.9659303634971399,orpha,1,6,50,1,418.9813714027405,0.5080063343048096,150,0,2,1243.4194900989532,3.2459962368011475,27.284022331237793,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9680910769785146,0.9748098434004474,0.9734654595138358,0.9620954011080581,0.9694861342582166,orpha,1,7,50,1,324.60702300071716,0.6379985809326172,150,0,2,1243.4194900989532,3.298996925354004,27.196998596191406,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9676181253096706,0.986742564148762,0.9826487545606053,0.9823579268201132,0.9848714021890905,orpha,1,8,50,1,243.9261178970337,0.4679989814758301,150,0,2,1243.4194900989532,2.5900535583496094,21.97900366783142,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9711166914403255,0.9755170938246025,0.979092082939207,0.9730573697881477,0.9815953485578728,orpha,1,9,50,1,380.3831720352173,0.48799967765808105,150,0,2,1243.4194900989532,4.116001605987549,30.383007764816284,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9645473927600858,0.9635355014038406,0.9579821479512933,0.9523844271279072,0.9600533009023617,orpha,2,10,50,1,187.99935150146484,0.42304015159606934,150,0,2,1243.4194900989532,3.1859991550445557,28.38200068473816,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9592144497995586,0.9565137456270738,0.9399885891025931,0.9572864585679324,0.9670991546927316,orpha,2,11,50,1,207.84918594360352,0.3780038356781006,150,0,2,1243.4194900989532,2.4170382022857666,19.794962406158447,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9679395823010976,0.9517495458162545,0.9476064141254897,0.9534436136510367,0.9604997522634116,orpha,2,12,50,1,273.35202145576477,0.4719979763031006,150,0,2,1243.4194900989532,2.583026885986328,20.613260746002197,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9702382024833716,0.9552063720853415,0.9461805023797727,0.9591760130925033,0.9657498911460445,orpha,2,13,50,1,223.3613212108612,0.41899561882019043,150,0,2,1243.4194900989532,3.1480185985565186,26.934000968933105,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9672239989189676,0.9572741468102037,0.9491739110850862,0.9522402144047566,0.9640519946548954,orpha,2,14,50,1,256.3709969520569,0.34200286865234375,150,0,2,1243.4194900989532,2.4799983501434326,24.077000617980957,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9495238202483373,0.9391507139318049,0.9226937975766858,0.9345404110925934,0.9416066093118929,orpha,3,15,50,1,199.20602130889893,0.44000244140625,150,0,2,1243.4194900989532,2.6900014877319336,20.05699920654297,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9678853054667207,0.9469841448583397,0.9423905830067715,0.9450702671050853,0.9505914148011351,orpha,3,16,50,1,209.35637021064758,0.5259935855865479,150,0,2,1243.4194900989532,3.2779932022094727,23.713000535964966,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9574817951143343,0.9380019668783689,0.9302744621113163,0.9319532153206312,0.9428709667732684,orpha,3,17,50,1,193.24747347831726,0.39499855041503906,150,0,2,1243.4194900989532,3.383009433746338,23.004002809524536,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
0.9549747008393016,0.9359858414786121,0.9298686996081258,0.9393759290122067,0.9469749861117367,orpha,3,18,50,1,201.7230248451233,0.5080015659332275,150,0,2,1243.4194900989532,2.6799933910369873,23.038020610809326,hp-obo-all-under-000118-linked.edgelist,1,0.05,15,no
