cos_sim,jaccard_best_avg,jc_best_avg,lin_best_avg,resnik_best_avg,source,exp_id,walk_length,time_similarities,time_results,cond_number,patients_per_cond,time_symptom_embeddings,time_patient_embeddings
0.9726719067298778,0.9911244740230247,0.9894752054172344,0.9853571012991303,0.9883603406791812,orpha,0,35,140.2275800704956,0.3249986171722412,100,3,49.81514811515808,3.037003517150879
0.9723664741056045,0.9911242112691389,0.9894752054172344,0.9853571012991303,0.9883604532879895,orpha,1,40,158.5120131969452,0.32602357864379883,100,3,62.207982540130615,3.044001579284668
0.9748772000945914,0.9911248869219884,0.9894752054172344,0.9853571012991303,0.988360228070373,orpha,2,45,157.1129961013794,0.37200379371643066,100,3,70.97591996192932,3.7840018272399902
0.9723731180252919,0.991125299820952,0.9894752054172344,0.9853571012991303,0.9883603031429118,orpha,3,50,161.99403285980225,0.30196213722229004,100,3,82.39404940605164,3.8140032291412354
0.9732454233903509,0.9911249995307966,0.9894752054172344,0.9853571012991303,0.9883604157517201,orpha,4,55,137.95999813079834,0.30904269218444824,100,3,80.07114291191101,3.465970277786255
0.9742643829600351,0.9911249995307967,0.9894752054172344,0.9853571012991303,0.9883603031429118,orpha,5,60,152.0855052471161,0.36099791526794434,100,3,90.56242322921753,4.947040796279907
0.9766046192133149,0.9911249995307966,0.9894752054172344,0.9853571012991303,0.9883603031429118,orpha,6,65,176.23400497436523,0.4559957981109619,100,3,113.26788926124573,5.468998908996582
0.9736666929420553,0.9911250370670661,0.9894752054172344,0.9853571012991303,0.9883604908242589,orpha,7,70,145.25527143478394,0.32303547859191895,100,3,106.83531022071838,3.0300002098083496
0.9753216670607976,0.9911249995307967,0.9894752054172344,0.9853571012991302,0.9883604157517201,orpha,8,75,163.36562156677246,0.3070394992828369,100,3,123.06850385665894,4.079010725021362
0.9738873686699773,0.9911244740230247,0.9894752054172344,0.9853571012991303,0.9883603031429119,orpha,9,80,189.3031153678894,0.383040189743042,100,3,121.56308889389038,4.076995134353638
0.9739996021155441,0.9911249995307967,0.9894752054172344,0.9853571012991303,0.9883603782154506,orpha,10,85,157.68474006652832,0.3200249671936035,100,3,150.8100881576538,5.315004110336304
0.9734746949239703,0.9911249995307967,0.9894752054172344,0.9853571012991303,0.9883603031429118,orpha,11,90,196.30699491500854,0.40900158882141113,100,3,131.02713894844055,3.5980019569396973
0.9737627482555019,0.9911249995307966,0.9894752054172344,0.9853571012991303,0.9883604157517201,orpha,12,95,206.4120011329651,0.35503721237182617,100,3,168.07773804664612,4.6619956493377686
