cos_sim,jaccard_best_avg,jc_best_avg,lin_best_avg,resnik_best_avg,source,lambda,exp_id,walk_length,time_similarities,time_results,cond_number,patients_per_cond,time_symptom_embeddings,time_patient_embeddings
0.9787208765469635,0.994839926579057,0.9976979756689902,0.9911061563235477,0.9941134871569655,orpha,0,0,50,278.94855427742004,0.37200188636779785,100,3,68.45659518241882,11.165001630783081
0.9487487284588734,0.9807532778547271,0.9830021508282378,0.9754730508353697,0.9776723759332455,orpha,0,1,50,270.3610005378723,0.4909994602203369,100,3,68.45659518241882,297.9875524044037
0.9646977391904928,0.9902904556527745,0.9963547778040531,0.9873428450240044,0.9898116054637794,orpha,0,2,50,317.15088391304016,0.37200212478637695,100,3,68.45659518241882,576.2865529060364
0.9730376601391095,0.9945573910791302,0.9988945568655714,0.9905624809972636,0.9917290331783086,orpha,0,3,50,331.0846514701843,0.44099879264831543,100,3,68.45659518241882,901.3454349040985
0.9698222282280253,0.9936886141233967,0.99728485148775,0.9862880007807544,0.9886831150599267,orpha,0,4,50,296.2361922264099,0.32400059700012207,100,3,68.45659518241882,1241.624119758606
0.9692123389224837,0.9808649107199832,0.9850107916774583,0.9792945433525144,0.9834160632711357,orpha,1,5,50,175.8549942970276,0.41500353813171387,100,3,68.45659518241882,1544.8993186950684
0.9599198976010571,0.9815593692405287,0.9871819645732689,0.9765787942599536,0.9817119541757223,orpha,1,6,50,252.78944063186646,0.39800262451171875,100,3,68.45659518241882,1729.51331448555
0.9734908730560904,0.9866483114309201,0.9874680660187906,0.9844510508278624,0.9837918388643027,orpha,1,7,50,314.9322156906128,0.299044132232666,100,3,68.45659518241882,1991.8107573986053
0.9685887113423346,0.985679012345679,0.9827357183878923,0.9838523473306081,0.9888373891272442,orpha,1,8,50,243.34222030639648,0.3410165309906006,100,3,68.45659518241882,2313.8390123844147
0.9730891974370235,0.982598260569275,0.9838479931233554,0.9761223532238025,0.9814047198105169,orpha,1,9,50,239.46897101402283,0.3789939880371094,100,3,68.45659518241882,2564.203222513199
0.9737884981363242,0.9886391976247049,0.9960592172186375,0.9835043861130818,0.9834672627426251,orpha,2,10,50,257.57005310058594,0.32900428771972656,100,3,68.45659518241882,2812.7151935100555
0.9787655822438431,0.9868986783479536,0.9927997927997928,0.9840867988694075,0.9849667240971589,orpha,2,11,50,195.65400099754333,0.29000043869018555,100,3,68.45659518241882,3079.271210193634
0.9658224008948647,0.9828578989448555,0.9873322222597585,0.9759589953792853,0.9764494067392618,orpha,2,12,50,179.94431805610657,0.2870004177093506,100,3,68.45659518241882,3281.839207649231
0.9561104542263963,0.9801508582668004,0.9883188255652025,0.9749803122266889,0.9784005795599998,orpha,2,13,50,272.02371191978455,0.3879985809326172,100,3,68.45659518241882,3468.6104412078857
0.9745177527786223,0.9883582011118244,0.9904738954014316,0.9833221099887767,0.9871065917442728,orpha,2,14,50,213.43254947662354,0.3320009708404541,100,3,68.45659518241882,3750.316155195236
0.979552154769546,0.9919723057404217,0.9953581898509435,0.9875235446249939,0.9901639959610974,orpha,3,15,50,176.04252743721008,0.2870032787322998,100,3,68.45659518241882,3970.7337033748627
0.9689705678111475,0.9791195868007462,0.9863465573610501,0.973618984343622,0.9742842021102891,orpha,3,16,50,167.3338177204132,0.3060014247894287,100,3,68.45659518241882,4153.35292506218
0.9753074408146871,0.9839918321077742,0.9928402944344974,0.979776208761716,0.9828707363489971,orpha,3,17,50,180.9102189540863,0.3549976348876953,100,3,68.45659518241882,4328.217741966248
0.9727949130847682,0.9787441490340041,0.9914618500125747,0.9776393440161555,0.9813834367457556,orpha,3,18,50,219.89901614189148,0.2780447006225586,100,3,68.45659518241882,4518.174482584
0.9789917382671006,0.9891190988292438,0.9937380493902233,0.985349031001205,0.9854856254856256,orpha,3,19,50,165.5985927581787,0.32404160499572754,100,3,68.45659518241882,4744.960545301437
0.965255265400193,0.9847378279262338,0.9948624858769787,0.9797349188653537,0.9785631866791287,orpha,4,20,50,191.15628623962402,0.27503228187561035,100,3,68.45659518241882,4917.562137126923
0.9663697547755519,0.9909037607588331,0.9951067343820966,0.9825251774527137,0.984258752519622,orpha,4,21,50,156.1352891921997,0.3130009174346924,100,3,68.45659518241882,5115.23842549324
0.9668990912469173,0.9911907255385516,0.9966214729982846,0.986986663363475,0.9851206228017823,orpha,4,22,50,200.6230149269104,0.3510270118713379,100,3,68.45659518241882,5278.588710308075
0.9656737197316907,0.9886063909252315,0.9928222394889061,0.980232724870406,0.9884379656843425,orpha,4,23,50,250.99295353889465,0.47300100326538086,100,3,68.45659518241882,5487.835711240768
0.9708904729194584,0.9857913959363235,0.990936417313229,0.9792612111452691,0.979675649095939,orpha,4,24,50,383.8707492351532,0.7039952278137207,100,3,68.45659518241882,5751.452665567398
0.9709998536085492,0.9866105874801527,0.9957791966487619,0.9825527666107376,0.9836794928099276,orpha,5,25,50,349.31827878952026,0.42600369453430176,100,3,68.45659518241882,6152.111417531967
0.974836698459887,0.9804625594480666,0.9868877552935524,0.9776024833995848,0.9811624982639475,orpha,5,26,50,243.46037435531616,0.4100027084350586,100,3,68.45659518241882,6511.57169508934
0.9768992789282644,0.9916121452353336,0.9946510816076032,0.9888501514588471,0.9914760387224154,orpha,5,27,50,194.48309922218323,0.2999687194824219,100,3,68.45659518241882,6764.70706820488
0.9766536791174472,0.9920558990124207,0.9974189310421194,0.9819078935020964,0.9832301836649663,orpha,5,28,50,208.3825659751892,0.37804102897644043,100,3,68.45659518241882,6966.102131843567
