cos_sim,jaccard_best_avg,jc_best_avg,lin_best_avg,resnik_best_avg,source,lambda,exp_id,walk_length,time_similarities,time_results,cond_number,noise_ptg,patients_per_cond,time_symptom_embeddings,time_patient_embeddings,enriched_embeddings
0.9717146209570453,0.99109657177839,0.998013468013468,0.9864427099275584,0.9850813692480359,orpha,3,0,50,119.63399910926819,0.1750016212463379,100,0.15,2,83.7811131477356,3.4119999408721924,no
0.9497306397306398,0.988841189674523,0.9952953780226508,0.9768554229160289,0.9727183450668299,orpha,3,1,50,177.91800022125244,0.17000341415405273,100,0.15,2,83.7811131477356,2.849999189376831,no
0.9710417304356699,0.9898063973063973,0.9954596469747985,0.9854045505560657,0.9842526272829303,orpha,3,2,50,101.8625283241272,0.14201951026916504,100,0.15,2,83.7811131477356,2.873997926712036,no
0.9762644117947148,0.9823864911743699,0.9885004081216202,0.9757787470666258,0.9801045811651872,orpha,3,3,50,110.81600022315979,0.13900089263916016,100,0.15,2,83.7811131477356,2.4449973106384277,no
0.9390036730945822,0.9809233751657994,0.991273084379145,0.976242985409652,0.9764258749107234,orpha,3,4,50,126.2490005493164,0.14504671096801758,100,0.15,2,83.7811131477356,2.4979987144470215,no
0.9598770533619019,0.9916740638710335,0.997700744821957,0.981659014386287,0.975748648097133,orpha,3,5,50,217.49436259269714,0.208038330078125,100,0.3,2,83.7811131477356,2.2779979705810547,no
0.9502224262830322,0.9896735027038057,0.9971681461075401,0.98022701765126,0.9790026527905316,orpha,3,6,50,212.92399835586548,0.17403411865234375,100,0.3,2,83.7811131477356,3.2679998874664307,no
0.9469523518008367,0.9827435975920824,0.993773084379145,0.9716243240485665,0.9624721967146209,orpha,3,7,50,180.82999873161316,0.1440415382385254,100,0.3,2,83.7811131477356,2.3549959659576416,no
0.9439485766758494,0.9910424956637078,0.9977762473217019,0.9861651872257933,0.9794997959391899,orpha,3,8,50,141.1870014667511,0.14099860191345215,100,0.3,2,83.7811131477356,2.2799994945526123,no
0.9303854198551168,0.9705249464340374,0.9815901438628711,0.9616467707376799,0.9581983981226405,orpha,3,9,50,158.46721005439758,0.2090013027191162,100,0.3,2,83.7811131477356,2.2819912433624268,no
0.9141977859402102,0.9685231098867462,0.9934001632486481,0.9505366799306193,0.9218342516069788,orpha,3,10,50,267.76999950408936,0.17499852180480957,100,0.45,2,83.7811131477356,2.739992618560791,no
0.9310940210182633,0.9679902560963166,0.9843480257116621,0.9514080195898378,0.9406626874808692,orpha,3,11,50,231.67700266838074,0.1380326747894287,100,0.45,2,83.7811131477356,3.0829975605010986,no
0.9413631262116111,0.9808279767370677,0.9887843077237017,0.9619875522905827,0.9426415671870219,orpha,3,12,50,199.92301869392395,0.17103981971740723,100,0.45,2,83.7811131477356,3.6089963912963867,no
0.9297566574839302,0.976385062748699,0.9950790735639221,0.9658340985613713,0.936801856953372,orpha,3,13,50,215.34200406074524,0.24300765991210938,100,0.45,2,83.7811131477356,3.0569956302642822,no
0.9274829099071524,0.9613939904091419,0.9803991939598,0.9476992143658811,0.928446332006938,orpha,3,14,50,250.12200546264648,0.17299747467041016,100,0.45,2,83.7811131477356,2.7599937915802,no
0.9101520253035404,0.9627237016630956,0.9894291398836853,0.9480961126415672,0.9164075094378125,orpha,3,15,50,288.9769923686981,0.14003205299377441,100,0.6,2,83.7811131477356,2.8440070152282715,no
0.9217891031527395,0.9834542393633303,0.9971808999081726,0.9693908784817875,0.9346530966227935,orpha,3,16,50,372.3799948692322,0.17000055313110352,100,0.6,2,83.7811131477356,2.383000135421753,no
0.9202971635547393,0.9673882767064585,0.9893561881440669,0.9441965105601469,0.9060733598612386,orpha,3,17,50,289.68695306777954,0.13499975204467773,100,0.6,2,83.7811131477356,3.320042371749878,no
0.8944260789715337,0.9579206203448627,0.9831981430466279,0.9412156922762983,0.9018796551372308,orpha,3,18,50,304.7245919704437,0.14099550247192383,100,0.6,2,83.7811131477356,3.4220004081726074,no
0.9301137639016428,0.9731853892459954,0.9957239057239058,0.9420763187429854,0.8967457402305888,orpha,3,19,50,364.0765097141266,0.20100092887878418,100,0.6,2,83.7811131477356,2.5869956016540527,no
