cos_sim,jaccard_best_avg,jc_best_avg,lin_best_avg,resnik_best_avg,source,lambda,exp_id,walk_length,time_similarities,time_results,cond_number,noise_ptg,patients_per_cond,time_symptom_embeddings,time_patient_embeddings
0.9640815437916888,0.9792225863240356,0.9885501615936398,0.9731409974888235,0.9760523105450641,orpha,3,0,50,268.17392778396606,0.5470075607299805,100,0.15,3,81.58540534973145,3.265995979309082
0.9657016842524091,0.9852935523950017,0.9913741652872088,0.9802212387719634,0.977262967842678,orpha,3,1,50,295.50913548469543,0.4320051670074463,100,0.15,3,81.58540534973145,2.4789981842041016
0.9596907011399765,0.9800321310466239,0.9900571302020577,0.975293402249924,0.9733787146830625,orpha,3,2,50,264.9987795352936,0.5929937362670898,100,0.15,3,81.58540534973145,1.9499876499176025
0.9482439407077088,0.9708338682251726,0.9868384326355341,0.9566817187107043,0.9534042393462683,orpha,3,3,50,300.7029950618744,0.5510070323944092,100,0.15,3,81.58540534973145,2.6679999828338623
0.9701448524636931,0.9825648908257604,0.9889722194070021,0.9781660529486615,0.9714314831706137,orpha,3,4,50,200.4509997367859,0.4129936695098877,100,0.15,3,81.58540534973145,2.613003730773926
0.9379749182647733,0.9732542068773953,0.991570555048816,0.9614276920074022,0.9471601560007358,orpha,3,5,50,373.05289363861084,0.5619981288909912,100,0.3,3,81.58540534973145,2.989000082015991
0.9510266920411847,0.9770420668971393,0.9915995330488084,0.9650504299779663,0.9577446332518796,orpha,3,6,50,355.33603167533875,0.42704176902770996,100,0.3,3,81.58540534973145,2.3760342597961426
0.9385361981014155,0.9710035321629524,0.9862729112004475,0.9629846589266879,0.9567558528428093,orpha,3,7,50,317.3410861492157,0.39899682998657227,100,0.3,3,81.58540534973145,1.9470014572143555
0.9434529989602451,0.9787183991531818,0.992771415380111,0.9667239470138023,0.9540347735999909,orpha,3,8,50,485.7258520126343,0.5930037498474121,100,0.3,3,81.58540534973145,1.9450023174285889
0.9398336767901985,0.98297351065467,0.9896108990311889,0.9692776520312752,0.9581025415808024,orpha,3,9,50,361.03999972343445,0.46603918075561523,100,0.3,3,81.58540534973145,2.5829906463623047
0.9178884347000289,0.9762245269491646,0.9910407681422174,0.9639374045171147,0.9521078116730292,orpha,3,10,50,480.8220052719116,0.6730587482452393,100,0.45,3,81.58540534973145,2.216994047164917
0.9143936954081882,0.9713851258778795,0.9866092361744536,0.9530608200173418,0.9267541261744161,orpha,3,11,50,511.17511320114136,0.5129961967468262,100,0.45,3,81.58540534973145,2.6979925632476807
0.9316623312275487,0.9680427463036159,0.98711454943339,0.9484900284900284,0.9257943237653382,orpha,3,12,50,628.5512919425964,0.4520423412322998,100,0.45,3,81.58540534973145,2.16099214553833
0.9188388155054821,0.9689328438603803,0.9832956844551047,0.9582753585652136,0.9464857793843301,orpha,3,13,50,470.05226135253906,0.47603654861450195,100,0.45,3,81.58540534973145,2.072342872619629
0.9384187095781299,0.9773175831146845,0.9901312643341629,0.9670628244541287,0.9454202748405647,orpha,3,14,50,432.8231062889099,0.4789917469024658,100,0.45,3,81.58540534973145,2.6239967346191406
0.898651622129883,0.9570472844385888,0.9901374202823477,0.9381646265704237,0.9143233899755641,orpha,3,15,50,729.8925740718842,0.44504570960998535,100,0.6,3,81.58540534973145,2.072988271713257
0.9241393871828655,0.968560521604,0.9944513886542873,0.9448080207500497,0.9096461455881746,orpha,3,16,50,525.3545024394989,0.4530019760131836,100,0.6,3,81.58540534973145,2.084994316101074
0.9011513124556603,0.969562852606331,0.9871519355577328,0.9434136984861623,0.9079521712855047,orpha,3,17,50,666.9079995155334,0.49899864196777344,100,0.6,3,81.58540534973145,2.096001386642456
0.8808886711785262,0.9472403710084869,0.9771844795033201,0.9158574973067726,0.8872982894722025,orpha,3,18,50,696.2448422908783,0.6680030822753906,100,0.6,3,81.58540534973145,2.1189868450164795
0.9065132183972764,0.9574616097804504,0.9872238550499419,0.9391445484199107,0.9090061897308275,orpha,3,19,50,906.4365904331207,0.5070338249206543,100,0.6,3,81.58540534973145,2.7430031299591064
